# 2025-10-11_17-37-09
# timestamp pos1 pos2 pos3 pos4 pos5 pos6 vel1 vel2 vel3 vel4 vel5 vel6
0.5877 -12.4670 -12.4670 -12.4670 0.1110 -0.0100 -1.4550 -27.6550 -27.6550 -27.6550 -0.0210 -0.0070 0.0070
0.5887 0.1070 -0.0680 -0.0940 0.1110 -0.0100 -1.4550 -0.0070 -0.0070 -0.1530 -0.0070 0.0070 0.0070
0.5897 0.1070 -0.0680 -0.0940 0.1110 -0.0100 -1.4550 -0.0070 -0.0070 -0.1530 -0.0070 0.0070 0.0070
0.5907 0.1070 -0.0680 -0.0940 0.1110 -0.0100 -1.4550 -0.0070 -0.0070 -0.1530 -0.0070 0.0070 0.0070
0.5917 0.1070 -0.0680 -0.0940 0.1110 -0.0100 -1.4550 -0.0070 -0.0070 -0.1530 -0.0070 0.0070 0.0070
0.5927 0.1070 -0.0680 -0.0940 0.1110 -0.0100 -1.4550 -0.0070 -0.0070 -0.1530 -0.0070 0.0070 0.0070
0.5937 0.1070 -0.0680 -0.0940 0.1110 -0.0100 -1.4550 -0.0070 -0.0070 -0.1530 -0.0070 0.0070 0.0070
0.5947 0.1070 -0.0680 -0.0940 0.1110 -0.0100 -1.4550 -0.0070 -0.0070 -0.1530 -0.0070 0.0070 0.0070
0.5957 0.1070 -0.0680 -0.0940 0.1110 -0.0100 -1.4550 -0.0070 -0.0070 -0.1530 -0.0070 0.0070 0.0070
0.5967 0.1070 -0.0680 -0.0940 0.1110 -0.0100 -1.4550 -0.0070 -0.0070 -0.1530 -0.0070 0.0070 0.0070
0.5977 0.1070 -0.0680 -0.0940 0.1110 -0.0100 -1.4550 -0.0070 -0.0070 -0.1530 -0.0070 0.0070 0.0070
0.5996 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 -0.0070 -0.0070 -0.1240 0.0070 -0.0070 -0.0070
0.5999 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 -0.0070 -0.0070 -0.1240 0.0070 -0.0070 -0.0070
0.6007 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 -0.0070 -0.0070 -0.1240 0.0070 -0.0070 -0.0070
0.6017 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 -0.0070 -0.0070 -0.1240 0.0070 -0.0070 -0.0070
0.6028 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 -0.0070 -0.0070 -0.1240 0.0070 -0.0070 -0.0070
0.6037 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 -0.0070 -0.0070 -0.1240 0.0070 -0.0070 -0.0070
0.6047 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 -0.0070 -0.0070 -0.1240 0.0070 -0.0070 -0.0070
0.6057 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 -0.0070 -0.0070 -0.1240 0.0070 -0.0070 -0.0070
0.6067 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 -0.0070 -0.0070 -0.1240 0.0070 -0.0070 -0.0070
0.6077 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 -0.0070 -0.0070 -0.1240 0.0070 -0.0070 -0.0070
0.6089 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 -0.0070 -0.0070 -0.1240 0.0070 -0.0070 -0.0070
0.6097 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 -0.0070 -0.0070 -0.1240 0.0070 -0.0070 -0.0070
0.6123 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 -0.0070 -0.0070 -0.1240 0.0070 -0.0070 -0.0070
0.6126 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 0.0070 -0.0210 -0.1530 -0.0210 -0.0070 -0.0210
0.6127 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 0.0070 -0.0210 -0.1530 -0.0210 -0.0070 -0.0210
0.6137 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 0.0070 -0.0210 -0.1530 -0.0210 -0.0070 -0.0210
0.6147 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 0.0070 -0.0210 -0.1530 -0.0210 -0.0070 -0.0210
0.6157 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 0.0070 -0.0210 -0.1530 -0.0210 -0.0070 -0.0210
0.6167 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 0.0070 -0.0210 -0.1530 -0.0210 -0.0070 -0.0210
0.6177 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 0.0070 -0.0210 -0.1530 -0.0210 -0.0070 -0.0210
0.6187 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 0.0070 -0.0210 -0.1530 -0.0210 -0.0070 -0.0210
0.6197 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 0.0070 -0.0210 -0.1530 -0.0210 -0.0070 -0.0210
0.6207 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 0.0070 -0.0210 -0.1530 -0.0210 -0.0070 -0.0210
0.6217 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 0.0070 -0.0210 -0.1530 -0.0210 -0.0070 -0.0210
0.6227 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 0.0070 -0.0210 -0.1530 -0.0210 -0.0070 -0.0210
0.6238 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 0.0070 -0.0210 -0.1530 -0.0210 -0.0070 -0.0210
0.6247 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 0.0070 -0.0210 -0.1530 -0.0210 -0.0070 -0.0210
0.6257 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 0.0070 -0.0210 -0.1530 -0.0210 -0.0070 -0.0210
0.6267 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 0.0070 -0.0210 -0.1530 -0.0210 -0.0070 -0.0210
0.6277 0.1070 -0.0680 -0.0950 0.1110 -0.0100 -1.4550 0.0070 -0.0210 -0.1530 -0.0210 -0.0070 -0.0210
0.6287 0.1070 -0.0680 -0.0960 0.1110 -0.0100 -1.4550 -0.0210 -0.0070 -0.1530 -0.0070 -0.0070 -0.0070
0.6296 0.1070 -0.0680 -0.0960 0.1110 -0.0100 -1.4550 -0.0210 -0.0210 -0.1830 -0.0070 -0.0070 -0.0070
0.6307 0.1070 -0.0680 -0.0960 0.1110 -0.0100 -1.4550 -0.0210 -0.0210 -0.1830 -0.0070 -0.0070 -0.0070
0.6317 0.1070 -0.0680 -0.0960 0.1110 -0.0100 -1.4550 -0.0070 -0.0210 -0.1830 -0.0070 -0.0070 -0.0070
