Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.010645,-0.010486,1.5689E-05,0,0,0,0.65234,0.00083423,2.0603E-05,-2.48E-06,0.0018578,4.4884E-07,0.0012592,0,0,0,0,0,0,package://miku_dummy/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://miku_dummy/meshes/base_link.STL,,地板-2;电机DM-J4340P-2EC-1;底座-1;底座轴承60x85x17-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,0.000633370299924666,-0.010196668583567,0.065408783417204,0,0,0,0.692425105141899,0.00143622623294635,-6.68061216094941E-06,-1.17692934301956E-05,0.000828966782862348,0.000212725566549657,0.00137510741508073,0,0,0,0,0,0,package://miku_dummy/meshes/Link_1.STL,1,1,1,1,0,0,0,0,0,0,package://miku_dummy/meshes/Link_1.STL,,臂1-2-1;电机DM-J4340P-2EC-2;法兰：30x42x7-1,坐标系1,基准轴1,Joint_1,revolute,0.011409,-4.0956E-05,0.027483,0.00054808,0,-0.0058653,base_link,0.020115,0,0.9998,9,0.5,-2.3562,2.3562,,,,,,,,
Link_2,1.069E-08,0.11068,0.0057686,0,0,0,0.68644,0.0026635,-6.862E-11,-1.4098E-10,0.00023475,1.5737E-05,0.0027619,0,0,0,0,0,0,package://miku_dummy/meshes/Link_2.STL,1,1,1,1,0,0,0,0,0,0,package://miku_dummy/meshes/Link_2.STL,,臂2-3-2;电机DM-J4340P-2EC-3,坐标系2,基准轴2,Joint_2,revolute,0.0017299,0.0291,0.085983,1.5708,-0.020116,3.1416,Link_1,0,0,1,9,0.5,-1.5708,1.5708,,,,,,,,
Link_3,-1.9471E-08,-0.11005,0.0061165,0,0,0,0.7374,0.0028522,-6.4004E-11,2.3705E-10,0.00025113,1.0602E-06,0.0029667,0,0,0,0,0,0,package://miku_dummy/meshes/Link_3.STL,1,1,1,1,0,0,0,0,0,0,package://miku_dummy/meshes/Link_3.STL,,臂3-4-1;电机DM-J4340P-2EC-4,坐标系3,基准轴3,Joint_3,revolute,0,0.184,-0.0565,3.1416,0,0,Link_2,0,0,1,9,0.5,-1.5707963267949,1.5707963267949,,,,,,,,
Link_4,0.00759705800409484,0.0496282903516812,-0.0216047613259382,0,0,0,0.60268642518722,0.000676640205250624,-0.000138027342753275,6.36871838709533E-05,0.000520624855922666,0.000140769176144584,0.000687786145664773,0,0,0,0,0,0,package://miku_dummy/meshes/Link_4.STL,1,1,1,1,0,0,0,0,0,0,package://miku_dummy/meshes/Link_4.STL,,臂4-5-1;电机DM-J4340P-2EC-5,坐标系4,基准轴4,Joint_4,revolute,0,-0.184,-0.0565,-3.1416,0,0,Link_3,0,0,1,9,0.5,-1.5707963267949,1.5707963267949,,,,,,,,
Link_5,-0.0150821538144421,0.0603003412972294,-8.84788967553357E-05,0,0,0,0.209320593665094,0.000109769760788772,9.73354310837211E-06,3.00623006278532E-08,8.79733880585506E-05,5.71032059338492E-08,0.0001046455150777,0,0,0,0,0,0,package://miku_dummy/meshes/Link_5.STL,1,1,1,1,0,0,0,0,0,0,package://miku_dummy/meshes/Link_5.STL,,臂5-6-1;电机DM-J4340P-2EC-6,坐标系5,基准轴5,Joint_5,revolute,-0.03,0.0815,-0.0266,3.1416,-0.0058665,-3.1416,Link_4,0,0,0,9,0.5,-1.5708,1.5708,,,,,,,,
Link_6,-4.5319E-06,-0.025505,0.072487,0,0,0,0.57248,0.00046739,-3.0967E-08,2.1342E-07,0.00019306,-3.6872E-06,0.00054284,0,0,0,0,0,0,package://miku_dummy/meshes/Link_6.STL,1,1,1,1,0,0,0,0,0,0,package://miku_dummy/meshes/Link_6.STL,,夹爪 装配体-3/电机-夹爪连接平台-1;夹爪 装配体-3/MGN9标准滑块-ZORA-2;夹爪 装配体-3/MGN9标准滑块-ZORA-1;夹爪 装配体-3/YH01-44（圆柱齿轮14×1.25）-ZORA-1;夹爪 装配体-3/末端连接件-link6-1;夹爪 装配体-3/末端连接件-夹爪-1;夹爪 装配体-3/MGN9导轨-13cm -1;夹爪 装配体-3/外壳2-1;夹爪 装配体-3/夹爪-相机连接-1;夹爪 装配体-3/RealSense_D435-1;夹爪 装配体-3/YH01-42-ZORA-2;夹爪 装配体-3/YH01-43-ZORA-2;夹爪 装配体-3/外壳1-1;夹爪 装配体-3/YH01-43-ZORA-1;夹爪 装配体-3/YH01-42-ZORA-1;夹爪 装配体-3/DM-4310P-2EC-1,坐标系6,基准轴6,Joint_6,revolute,-0.0195,0.105,-0.0001144,-1.5708,-0.0058665,0,Link_5,0,0,0,9,0.5,-2.3562,2.3562,,,,,,,,
